Iteration,Loss,HR,NDCG
0,0.262,0.4528,0.2515
1,0.2358,0.4864,0.2728
2,0.2363,0.497,0.2797
3,0.2629,0.5086,0.2827
4,0.289,0.5136,0.2901
5,0.2588,0.5061,0.2806
6,3.383,0.0046,0.0023
7,1.4609,0.005,0.0026
8,1.4611,0.0048,0.0026
9,1.4582,0.0076,0.005
10,1.4818,0.357,0.1965
11,1.3986,0.0166,0.0074
12,2.2402,0.0053,0.0034
13,1.4456,0.0136,0.0109
14,1.436,0.0162,0.0132
15,1.4183,0.0169,0.0137
16,1.3741,0.1045,0.0832
17,2.5024,0.0161,0.0138
18,1.4186,0.0329,0.0275
19,1.4422,0.0296,0.0265
20,2.1065,0.0429,0.0384
21,3.6297,0.0308,0.0105
22,1.4719,0.0338,0.0302
23,1.407,0.0482,0.0424
24,1.4071,0.0588,0.0503
25,1.4073,0.0497,0.0441
26,6.6383,0.019,0.0067
27,7.3326,0.0429,0.0379
28,1.4033,0.052,0.0459
29,1.3984,0.0528,0.0468
30,1.3941,0.0632,0.0553
31,1.3929,0.0601,0.0531
32,1.3912,0.1061,0.0871
33,1.4089,0.0472,0.0415
34,1.4021,0.0551,0.0487
35,1.3929,0.1106,0.0918
36,1.4223,0.078,0.0682
37,1.3833,0.0902,0.0775
38,1.3771,0.0942,0.0804
39,1.4047,0.0972,0.0836
40,1.5176,0.0869,0.0753
41,1.3826,0.0796,0.0695
42,1.3787,0.0904,0.0776
43,1.4902,0.1058,0.0897
44,1.3905,0.0897,0.0769
45,1.3816,0.0972,0.0833
46,1.3811,0.094,0.0808
47,1.3755,0.0939,0.0807
48,1.377,0.0906,0.0771
49,1.381,0.0939,0.0811
